City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,77.85,73,9,12.68,clear sky
1,Ushuaia,AR,-54.8,-68.3,46.49,92,100,5.23,light rain
2,Ponta Do Sol,PT,32.6667,-17.1,64.71,76,47,6.98,scattered clouds
3,Wattegama,LK,6.7989,81.4808,78.01,74,39,6.38,scattered clouds
4,Aklavik,CA,68.2191,-135.0107,-17.99,98,100,3.36,overcast clouds
5,Ayorou,NE,14.7308,0.9174,65.68,19,87,9.89,overcast clouds
6,Norman Wells,CA,65.282,-126.8329,-20.78,99,94,2.84,overcast clouds
7,Provideniya,RU,64.3833,-173.3,10.51,67,100,17.9,overcast clouds
8,Bredasdorp,ZA,-34.5322,20.0403,68.0,90,76,12.8,broken clouds
9,Punta Arenas,CL,-53.15,-70.9167,51.91,71,0,23.02,light rain
10,Cape Town,ZA,-33.9258,18.4232,71.89,73,0,3.0,clear sky
11,Longyearbyen,SJ,78.2186,15.6401,17.44,67,75,23.02,broken clouds
12,Isangel,VU,-19.55,169.2667,82.69,70,74,11.3,broken clouds
13,Townsville,AU,-19.25,146.8,83.28,74,75,2.3,broken clouds
14,Buchanan,LR,5.8808,-10.0467,77.23,85,1,0.83,clear sky
15,Airai,TL,-8.9266,125.4092,73.96,60,99,3.2,overcast clouds
16,Butaritari,KI,3.0707,172.7902,81.01,77,95,12.35,light rain
17,Codrington,AU,-38.2667,141.9667,72.28,44,0,14.07,clear sky
18,Georgetown,MY,5.4112,100.3354,85.93,70,20,10.36,few clouds
19,Novotroitskaya,RU,45.3267,41.5253,30.04,84,5,5.66,clear sky
20,Bluff,NZ,-46.6,168.3333,67.55,61,47,2.21,scattered clouds
21,Jamestown,US,42.097,-79.2353,21.18,72,0,1.01,clear sky
22,Hilo,US,19.7297,-155.09,77.25,79,40,9.22,scattered clouds
23,Ewa Beach,US,21.3156,-158.0072,80.55,64,100,11.5,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,81.63,30,13,8.1,few clouds
25,Hualmay,PE,-11.0964,-77.6139,69.87,79,100,7.02,overcast clouds
26,Yellowknife,CA,62.456,-114.3525,-13.54,100,100,2.82,overcast clouds
27,Busselton,AU,-33.65,115.3333,72.0,48,0,18.9,clear sky
28,Vaini,TO,-21.2,-175.2,82.45,77,40,11.45,light rain
29,Tasiilaq,GL,65.6145,-37.6368,24.96,85,100,18.95,light snow
30,Port Alfred,ZA,-33.5906,26.891,71.19,89,99,1.01,overcast clouds
31,Arraial Do Cabo,BR,-22.9661,-42.0278,74.3,90,88,24.07,overcast clouds
32,Lebu,CL,-37.6167,-73.65,55.44,84,97,19.08,overcast clouds
33,Yaan,NG,7.3833,8.5667,74.21,21,59,7.43,broken clouds
34,Dingtao,CN,35.0683,115.5625,30.36,40,83,4.47,broken clouds
35,Severo-Kurilsk,RU,50.6789,156.125,17.38,79,100,25.1,light snow
36,Sambava,MG,-14.2667,50.1667,74.03,97,100,7.2,heavy intensity rain
37,Mamit,IN,23.9333,92.4833,52.63,88,40,4.61,mist
38,Ahipara,NZ,-35.1667,173.1667,68.9,73,76,9.8,broken clouds
39,Knysna,ZA,-34.0363,23.0471,67.28,91,81,5.17,broken clouds
40,Sisimiut,GL,66.9395,-53.6735,1.62,90,98,34.09,light snow
41,Chute-Aux-Outardes,CA,49.1168,-68.399,14.16,86,100,7.23,overcast clouds
42,Castro,BR,-24.7911,-50.0119,64.06,97,94,1.45,overcast clouds
43,Sioux Lookout,CA,50.1001,-91.917,32.22,96,100,4.81,overcast clouds
44,Chapeltique,SV,13.6333,-88.2667,70.52,51,1,2.39,clear sky
45,Chuy,UY,-33.6971,-53.4616,65.32,81,0,6.04,clear sky
46,Ocosingo,MX,17.0667,-92.25,52.84,88,13,3.91,few clouds
47,Coihaique,CL,-45.5752,-72.0662,53.55,58,0,3.44,clear sky
48,Dutse,NG,11.7594,9.3392,58.82,23,80,7.43,broken clouds
49,Miquelon,PM,47.0975,-56.3814,35.6,95,100,35.23,moderate rain
50,Hofn,IS,64.2539,-15.2082,24.49,59,100,21.25,overcast clouds
51,Palmer,US,42.1584,-72.3287,34.47,47,100,19.57,light snow
52,Hermanus,ZA,-34.4187,19.2345,71.8,81,97,17.2,overcast clouds
53,Baruun-Urt,MN,46.6806,113.2792,-3.78,81,22,6.17,few clouds
54,Batemans Bay,AU,-35.7167,150.1833,73.09,62,77,7.85,broken clouds
55,Fortuna,US,40.5982,-124.1573,46.65,91,0,0.0,clear sky
56,Qaanaaq,GL,77.484,-69.3632,-7.33,58,24,6.98,few clouds
57,Atuona,PF,-9.8,-139.0333,78.28,76,100,13.87,overcast clouds
58,Constitucion,CL,-35.3333,-72.4167,56.39,79,38,11.14,scattered clouds
59,Leshan,CN,29.5623,103.7639,41.63,53,61,3.33,broken clouds
60,Khatanga,RU,71.9667,102.5,-52.71,99,53,4.45,broken clouds
61,Vila Franca Do Campo,PT,37.7167,-25.4333,48.61,81,9,5.7,clear sky
62,La Tuque,CA,47.4334,-72.7824,0.18,96,5,3.74,clear sky
63,Luderitz,NA,-26.6481,15.1594,66.54,75,100,17.58,overcast clouds
64,Portland,US,45.5234,-122.6762,48.18,89,100,11.99,overcast clouds
65,Rudarpur,IN,26.4394,83.6144,50.25,51,2,4.97,clear sky
66,Huarmey,PE,-10.0681,-78.1522,69.91,78,100,4.68,overcast clouds
67,Avarua,CK,-21.2078,-159.775,75.25,83,100,5.75,overcast clouds
68,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,100,6.91,light snow
69,Xichang,CN,27.8964,102.2634,39.69,69,80,2.95,broken clouds
70,Ratnagiri,IN,16.9833,73.3,69.55,72,0,3.69,clear sky
71,Walvis Bay,NA,-22.9575,14.5053,67.08,88,100,6.38,overcast clouds
72,Pundaguitan,PH,6.3711,126.1689,81.9,76,100,4.32,overcast clouds
